ticker,caldt,crsp_fundno,mtna,mret,mnav
VHGEX,31/05/2002,31326,238.8,0.023566,13.03
VHGEX,28/06/2002,31326,244.9,-0.05449,12.32
VHGEX,31/07/2002,31326,233.3,-0.100649,11.08
VHGEX,30/08/2002,31326,234.4,0.00361,11.12
VHGEX,30/09/2002,31326,211.5,-0.100719,10
VHGEX,31/10/2002,31326,222.5,0.048,10.48
VHGEX,29/11/2002,31326,244.8,0.084924,11.37
VHGEX,31/12/2002,31326,251.2,-0.038674,10.83
VHGEX,31/01/2003,31326,305.1,-0.009234,10.73
VHGEX,28/02/2003,31326,323.4,-0.023299,10.48
VHGEX,31/03/2003,31326,343.6,-0.01145,10.36
VHGEX,30/04/2003,31326,378.3,0.074324,11.13
VHGEX,30/05/2003,31326,413.8,0.07637,11.98
VHGEX,30/06/2003,31326,440,0.028381,12.32
VHGEX,31/07/2003,31326,473.9,0.025974,12.64
VHGEX,29/08/2003,31326,519.4,0.038766,13.13
VHGEX,30/09/2003,31326,559.4,0.02818,13.5
VHGEX,31/10/2003,31326,663.7,0.071111,14.46
VHGEX,28/11/2003,31326,744,0.022822,14.79
VHGEX,31/12/2003,31326,825.6,0.05816,15.45
VHGEX,30/01/2004,31326,888.3,0.03301,15.96
VHGEX,27/02/2004,31326,916.2,0.017544,16.24
VHGEX,31/03/2004,31326,908.1,-0.008005,16.11
VHGEX,30/04/2004,31326,877.8,-0.036623,15.52
VHGEX,28/05/2004,31326,889.6,0.001289,15.54
VHGEX,30/06/2004,31326,924.9,0.031532,16.03
VHGEX,30/07/2004,31326,896.1,-0.031815,15.52
VHGEX,31/08/2004,31326,894.2,0.001933,15.55
VHGEX,30/09/2004,31326,965.1,0.034084,16.08
VHGEX,29/10/2004,31326,1014.2,0.032338,16.6
VHGEX,30/11/2004,31326,1143.3,0.076506,17.87
VHGEX,31/12/2004,31326,1270.3,0.038258,18.06
VHGEX,31/01/2005,31326,1399.6,-0.015504,17.78
VHGEX,28/02/2005,31326,1591.7,0.037683,18.45
VHGEX,31/03/2005,31326,1680.9,-0.023848,18.01
VHGEX,29/04/2005,31326,1694.4,-0.031094,17.45
VHGEX,31/05/2005,31326,1890.1,0.0149,17.71
VHGEX,30/06/2005,31326,1947.2,0.01581,17.99
VHGEX,29/07/2005,31326,2076.5,0.046693,18.83
VHGEX,31/08/2005,31326,2148.3,0.007435,18.97
VHGEX,30/09/2005,31326,2301.8,0.039536,19.72
VHGEX,31/10/2005,31326,2312.4,-0.040568,18.92
VHGEX,30/11/2005,31326,2478.5,0.032241,19.53
VHGEX,30/12/2005,31326,2676,0.033609,19.51
VHGEX,31/01/2006,31326,3084.3,0.054331,20.57
VHGEX,28/02/2006,31326,3232.6,-0.003403,20.5
VHGEX,31/03/2006,31326,3499.1,0.033171,21.18
VHGEX,28/04/2006,31326,3775.3,0.036827,21.96
VHGEX,31/05/2006,31326,3752.4,-0.037796,21.13
VHGEX,30/06/2006,31326,3790.8,0.006626,21.27
VHGEX,31/07/2006,31326,3861.5,0.006112,21.4
VHGEX,31/08/2006,31326,4020.2,0.017757,21.78
VHGEX,29/09/2006,31326,4191.4,0.008264,21.96
VHGEX,31/10/2006,31326,4482.8,0.044627,22.94
VHGEX,30/11/2006,31326,4747.1,0.030514,23.64
VHGEX,29/12/2006,31326,4964,0.020014,22.92
VHGEX,31/01/2007,31326,5350.4,0.016143,23.29
VHGEX,28/02/2007,31326,5570.7,-0.000429,23.28
VHGEX,30/03/2007,31326,5800,0.022337,23.8
VHGEX,30/04/2007,31326,6250.1,0.044958,24.87
VHGEX,31/05/2007,31326,6744.6,0.04423,25.97
VHGEX,29/06/2007,31326,6939.8,-0.001925,25.92
VHGEX,31/07/2007,31326,7054.4,-0.020448,25.39
VHGEX,31/08/2007,31326,7066.6,-0.005908,25.24
VHGEX,28/09/2007,31326,7551.7,0.050317,26.51
VHGEX,31/10/2007,31326,8111.7,0.047906,27.78
VHGEX,30/11/2007,31326,7674.1,-0.061915,26.06
VHGEX,31/12/2007,31326,7604,-0.017818,23.71
VHGEX,31/01/2008,31326,6869.7,-0.08857,21.61
VHGEX,29/02/2008,31326,6891,-0.006478,21.47
VHGEX,31/03/2008,31326,6852.9,-0.018165,21.08
